WORD: afişi, FREQ: 1
WORD: yönetmen, FREQ: 1
WORD: yapımcı, FREQ: 1
WORD: niki, FREQ: 1
WORD: marvin, FREQ: 1
WORD: senarist, FREQ: 1
WORD: roman, FREQ: 1
WORD: uyarlama, FREQ: 1
WORD: müzik, FREQ: 1
WORD: thomas, FREQ: 1
WORD: newman, FREQ: 1
WORD: dağıtıcı, FREQ: 1
WORD: castle, FREQ: 1
WORD: rock, FREQ: 1
WORD: entertainment, FREQ: 1
WORD: çıkış, FREQ: 1
WORD: tarih, FREQ: 1
WORD: ler, FREQ: 1
WORD: türkiye, FREQ: 1
WORD: dk, FREQ: 1
WORD: ülke, FREQ: 1
WORD: dil, FREQ: 1
WORD: bütçe, FREQ: 1
WORD: hasılat, FREQ: 1
WORD: senaryosunu, FREQ: 1
WORD: yazdığı, FREQ: 1
WORD: yönettiği, FREQ: 1
WORD: başrollerinde, FREQ: 1
WORD: yer, FREQ: 1
WORD: aldığı, FREQ: 1
WORD: dram, FREQ: 1
WORD: filmidir, FREQ: 1
WORD: novellasından, FREQ: 1
WORD: uyarlanan, FREQ: 1
WORD: masumiyetini, FREQ: 1
WORD: iddia, FREQ: 1
WORD: etmesine, FREQ: 1
WORD: sevgilisini, FREQ: 1
WORD: öldürdüğü, FREQ: 1
WORD: gerekçesiyle, FREQ: 1
WORD: devlet, FREQ: 1
WORD: nde, FREQ: 1
WORD: yaklaşık, FREQ: 1
WORD: yılını, FREQ: 1
WORD: geçiren, FREQ: 1
WORD: hikâyesini, FREQ: 1
WORD: kaldığı, FREQ: 1
WORD: mahkûmlardan, FREQ: 1
WORD: redding, FREQ: 1
WORD: arkadaşlık, FREQ: 1
WORD: kuran, FREQ: 1
WORD: müdürünün, FREQ: 1
WORD: faaliyetlerine, FREQ: 1
WORD: başladıktan, FREQ: 1
WORD: korunmaya, FREQ: 1
WORD: başlanır, FREQ: 1
WORD: gişe, FREQ: 1
WORD: hasılatının, FREQ: 1
WORD: bütçesini, FREQ: 1
WORD: zor, FREQ: 1
WORD: karşılamasına, FREQ: 1
WORD: eleştirmenlerden, FREQ: 1
WORD: olumlu, FREQ: 1
WORD: eleştiriler, FREQ: 1
WORD: ödüle, FREQ: 1
WORD: sonrasında, FREQ: 1
WORD: kablo, FREQ: 1
WORD: televizyon, FREQ: 1
WORD: vhs, FREQ: 1
WORD: dvd, FREQ: 1
WORD: blu, FREQ: 1
WORD: ray, FREQ: 1
WORD: üzerinde, FREQ: 1
WORD: gördü, FREQ: 1
WORD: enstitüsü, FREQ: 1
WORD: hazırladığı, FREQ: 1
WORD: afi, FREQ: 1
WORD: yılı, FREQ: 1
WORD: listesinin, FREQ: 1
WORD: yıldönüm, FREQ: 1
WORD: sayısına, FREQ: 1
WORD: edildi, FREQ: 1
WORD: sitesinde, FREQ: 1
WORD: fazla, FREQ: 1
WORD: oylarıyla, FREQ: 1
WORD: üzerinden, FREQ: 1
WORD: gelmiş, FREQ: 1
WORD: geçmiş, FREQ: 1
WORD: seçildi, FREQ: 1
WORD: i̇çindekiler, FREQ: 1
WORD: başarılı, FREQ: 1
WORD: dufrense, FREQ: 1
WORD: başarıyı, FREQ: 1
WORD: evliliğinde, FREQ: 1
WORD: gösterememektedir, FREQ: 1
WORD: erkekle, FREQ: 1
WORD: aldatılmaktadır, FREQ: 1
WORD: kabullenemeyen, FREQ: 1
WORD: eşinin, FREQ: 1
WORD: aşığıyla, FREQ: 1
WORD: buluştuğu, FREQ: 1
WORD: alkolün, FREQ: 1
WORD: cesaretle, FREQ: 1
WORD: silahına, FREQ: 1
WORD: mermileri, FREQ: 1
WORD: doldurur, FREQ: 1
WORD: öfkeyle, FREQ: 1
WORD: aracından, FREQ: 1
WORD: iner, FREQ: 1
WORD: aşığının, FREQ: 1
WORD: bulunduğu, FREQ: 1
WORD: eve, FREQ: 1
WORD: gidip, FREQ: 1
WORD: onları, FREQ: 1
WORD: öldürecekken, FREQ: 1
WORD: vazgeçer, FREQ: 1
WORD: geriye, FREQ: 1
WORD: döner, FREQ: 1
WORD: dönüş, FREQ: 1
WORD: kurtaramaz, FREQ: 1
WORD: akşam, FREQ: 1
WORD: aşığı, FREQ: 1
WORD: yataklarında, FREQ: 1
WORD: mermi, FREQ: 1
WORD: yağmuruna, FREQ: 1
WORD: tutulmuşlardır, FREQ: 1
WORD: olay, FREQ: 1
WORD: yeri, FREQ: 1
WORD: incelemelerinde, FREQ: 1
WORD: ayak, FREQ: 1
WORD: izlerine, FREQ: 1
WORD: rastlayan, FREQ: 1
WORD: yargının, FREQ: 1
WORD: eline, FREQ: 1
WORD: teslim, FREQ: 1
WORD: yargılanması, FREQ: 1
WORD: sonucunda, FREQ: 1
WORD: suçsuzluğunu, FREQ: 1
WORD: ispatlayamaz, FREQ: 1
WORD: kez, FREQ: 1
WORD: ağırlaştırılmış, FREQ: 1
WORD: müebbet, FREQ: 1
WORD: hapse, FREQ: 1
WORD: mahkum, FREQ: 1
WORD: anda, FREQ: 1
WORD: yaşamı, FREQ: 1
WORD: altüst, FREQ: 1
WORD: olur, FREQ: 1
WORD: aldatılmıştır, FREQ: 1
WORD: öldürülmüştür, FREQ: 1
WORD: ölümde, FREQ: 1
WORD: hiçbir, FREQ: 1
WORD: suçu, FREQ: 1
WORD: olmamasına, FREQ: 1
WORD: hayatının, FREQ: 1
WORD: geri, FREQ: 1
WORD: kalanını, FREQ: 1
WORD: hapiste, FREQ: 1
WORD: geçirecektir, FREQ: 1
WORD: tanıştığı, FREQ: 1
WORD: arkadaşları, FREQ: 1
WORD: çatı, FREQ: 1
WORD: muhafızların, FREQ: 1
WORD: kaptanı, FREQ: 1
WORD: kulak, FREQ: 1
WORD: misafiri, FREQ: 1
WORD: olmuş, FREQ: 1
WORD: mirasla, FREQ: 1
WORD: vergilendirilmekten, FREQ: 1
WORD: şikayetçi, FREQ: 1
WORD: öğrenmiştir, FREQ: 1
WORD: vergi, FREQ: 1
WORD: dolayısıyla, FREQ: 1
WORD: bin, FREQ: 1
WORD: dolarını, FREQ: 1
WORD: kaybedecek, FREQ: 1
WORD: kurtarabileceğini, FREQ: 1
WORD: söyler, FREQ: 1
WORD: kurtacağını, FREQ: 1
WORD: şartı, FREQ: 1
WORD: vardır, FREQ: 1
WORD: kurtarmasına, FREQ: 1
WORD: karşılık, FREQ: 1
WORD: arkadaşlarına, FREQ: 1
WORD: ister, FREQ: 1
WORD: kabul, FREQ: 1
WORD: çatıda, FREQ: 1
WORD: ısmalarlar, FREQ: 1
WORD: mahkumlar, FREQ: 1
WORD: kısa, FREQ: 1
WORD: sürede, FREQ: 1
WORD: olsa, FREQ: 1
WORD: özgür, FREQ: 1
WORD: insan, FREQ: 1
WORD: hissederler, FREQ: 1
WORD: olaydan, FREQ: 1
WORD: görüştü, FREQ: 1
WORD: ihtiyar, FREQ: 1
WORD: halten, FREQ: 1
WORD: etmesi, FREQ: 1
WORD: cezaevinin, FREQ: 1
WORD: kütüphanesine, FREQ: 1
WORD: gönderdi, FREQ: 1
WORD: yeni, FREQ: 1
WORD: göveri, FREQ: 1
WORD: kütüphanede, FREQ: 1
WORD: çalışma, FREQ: 1
WORD: bahanesi, FREQ: 1
WORD: konusundaki, FREQ: 1
WORD: işleri, FREQ: 1
WORD: halletmek, FREQ: 1
WORD: oldu, FREQ: 1
WORD: geçtikçe, FREQ: 1
WORD: işlerini, FREQ: 1
WORD: emanet, FREQ: 1
WORD: etti, FREQ: 1
WORD: haftalık, FREQ: 1
WORD: mektuplar, FREQ: 1
WORD: yazarak, FREQ: 1
WORD: çürüyen, FREQ: 1
WORD: iyileştirmek, FREQ: 1
WORD: devletten, FREQ: 1
